country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
SGP,COUNTRY,2019,0.67342,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
CAF,COUNTRY,2019,0.10676,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,
UNSDG_AUSTRALIANEWZEALAND,UNSDGREGION,2019,0.02249,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE039
145,UNREGION,2019,2.80033,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE113
SEAR,REGION,2019,3.34724,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE75-79,ENVCAUSE,ENVCAUSE_ENVCAUSE113
NAM,COUNTRY,2019,0.10373,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,
BGD,COUNTRY,2019,15.78456,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
BRA,COUNTRY,2019,10.93206,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,
GTM,COUNTRY,2019,1.52975,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
LAO,COUNTRY,2019,37.46654,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
GHA,COUNTRY,2019,2.2667,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE118,,
IRQ,COUNTRY,2019,0.87737,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,
30,UNREGION,2019,0.28033,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE068
POL,COUNTRY,2019,97.22484,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
15,UNREGION,2019,0.02027,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE30-34,ENVCAUSE,ENVCAUSE_ENVCAUSE118
SEAR,REGION,2019,5.9396,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE113
