country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
KHM,COUNTRY,2017,18.81424,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
LVA,COUNTRY,2013,14.38593,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
IDN,COUNTRY,2012,20.27159,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
SWZ,COUNTRY,2018,15.78952,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
KOR,COUNTRY,2017,25.81438,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
DJI,COUNTRY,2013,20.64711,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
DMA,COUNTRY,2012,8.278,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
NPL,COUNTRY,2015,39.81822,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
CYP,COUNTRY,2010,18.5258,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
GLOBAL,GLOBAL,2018,35.55013,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
NIC,COUNTRY,2013,21.58821,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
IND,COUNTRY,2011,50.00474,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
LMI_WPR,WHOINCOMEREGION,2019,37.05158,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
ECU,COUNTRY,2014,18.1032,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
SWE,COUNTRY,2017,6.0118,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
MDV,COUNTRY,2011,12.87975,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
MKD,COUNTRY,2015,33.62324,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
ISR,COUNTRY,2012,22.15262,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
GHA,COUNTRY,2016,59.17541,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
ARM,COUNTRY,2016,33.37413,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
ZMB,COUNTRY,2014,19.71883,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
KNA,COUNTRY,2010,7.52324,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
PSE,COUNTRY,2010,30.04388,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
MAR,COUNTRY,2011,13.50527,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
ARM,COUNTRY,2017,42.29153,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
FJI,COUNTRY,2015,7.32313,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
CIV,COUNTRY,2011,52.09464,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
COG,COUNTRY,2015,37.51357,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
SEAR,REGION,2013,50.35609,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
COM,COUNTRY,2010,13.73775,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
OMN,COUNTRY,2012,36.14195,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
SEAR,REGION,2012,53.26192,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
URY,COUNTRY,2011,9.22874,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
SVN,COUNTRY,2012,18.73253,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
543,UNREGION,2017,8.52599,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
KOR,COUNTRY,2011,27.01461,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
LMI_SEAR,WHOINCOMEREGION,2016,46.57286,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
KAZ,COUNTRY,2018,38.32893,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
ETH,COUNTRY,2017,22.2304,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
JAM,COUNTRY,2010,14.58165,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
SUR,COUNTRY,2010,12.18701,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
HND,COUNTRY,2018,20.15252,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
NAM,COUNTRY,2019,10.80783,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
SGP,COUNTRY,2010,16.89388,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
MWI,COUNTRY,2011,18.49432,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
PNG,COUNTRY,2010,9.44587,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
GNB,COUNTRY,2012,35.19599,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
LSO,COUNTRY,2018,17.19664,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
MNG,COUNTRY,2013,48.76769,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
UNKNOWN,WHOINCOMEREGION,2015,17.19896,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
MOZ,COUNTRY,2010,18.71816,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
NAM,COUNTRY,2013,11.06152,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
ZMB,COUNTRY,2011,17.72703,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
SSD,COUNTRY,2015,22.0609,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
MKD,COUNTRY,2012,39.05884,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
ARG,COUNTRY,2011,13.22056,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOTL,,,,
PER,COUNTRY,2012,27.65742,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
SLV,COUNTRY,2014,27.74039,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
GAB,COUNTRY,2019,32.86885,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
BGR,COUNTRY,2010,22.83124,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
LBR,COUNTRY,2015,35.5854,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
LBY,COUNTRY,2015,27.37303,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
ZWE,COUNTRY,2010,14.63783,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
MOZ,COUNTRY,2019,18.51538,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
AGO,COUNTRY,2016,27.21257,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
HND,COUNTRY,2013,24.65398,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
KOR,COUNTRY,2014,26.56979,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
GUY,COUNTRY,2019,10.3348,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
DEU,COUNTRY,2010,15.74514,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,,,,
HUN,COUNTRY,2019,16.06905,RESIDENCEAREATYPE,RESIDENCEAREATYPE_CITY,,,,
MEX,COUNTRY,2011,21.73374,RESIDENCEAREATYPE,RESIDENCEAREATYPE_TOWN,,,,
PAK,COUNTRY,2015,53.99624,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
OMN,COUNTRY,2017,35.42326,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,,,,
